fpepq	blastp	DALI	TMalign	GTalign	foldseek	devreseek	devreseek-sensitive
0.01							
0.02							
0.03		0.0116					
0.04	0.1006	0.03184			0.02078		
0.05	7.599	0.05218	0.0107		0.04076		
0.06		0.07002	0.01784	0.01516	0.05985		
0.07		0.09	0.02979	0.02614	0.0776	0.01204	
0.08		0.11	0.04531	0.03916	0.09839	0.01945	0.01686
0.09		0.1304	0.06743	0.06057	0.122	0.03452	0.02605
0.10		0.1513	0.09598	0.08741	0.1541	0.0611	0.04326
0.11		0.179	0.1308	0.1202	0.1905	0.1038	0.07323
0.12		0.2068	0.178	0.1649	0.2407	0.186	0.1168
0.13		0.235	0.2325	0.2103	0.3092	0.3114	0.1754
0.14		0.2655	0.2865	0.2671	0.3973	0.4768	0.266
0.15		0.2951	0.3491	0.334	0.5242	0.7385	0.3858
0.16		0.3362	0.4378	0.4192	0.686	1.084	0.5457
0.17		0.3851	0.5307	0.5144	0.8881	1.572	0.7445
0.18		0.4477	0.6355	0.6154	1.147	2.294	0.9828
0.19		0.5288	0.7484	0.7379	1.46	3.295	1.267
0.20		0.6312	0.878	0.8856	1.841	4.868	1.625
0.21		0.754	1.024	1.038	2.3	7.564	2.08
0.22		0.9088	1.181	1.213	2.819	13.13	2.61
0.23		1.097	1.358	1.403	3.422	56.99	3.165
0.24		1.325	1.538	1.599	4.136		3.9
0.25		1.61	1.732	1.821	4.944		4.737
0.26		1.926	1.945	2.053	5.844		5.687
0.27		2.292	2.178	2.299	6.861		6.925
0.28		2.731	2.426	2.581	7.975		8.184
0.29		3.246	2.689	2.889	9.188		9.894
0.30		3.838	2.973	3.218	10.51		11.57
0.31		4.462	3.301	3.556	11.95		13.95
0.32		5.219	3.644	3.925	13.54		16.43
0.33		5.975	4.029	4.326	15.27		19.67
0.34		6.898	4.422	4.769	17.14		23.36
0.35		7.854	4.838	5.24	19.14		27.85
0.36		8.979	5.283	5.744	21.36		33.39
0.37		10.15	5.784	6.324	23.69		39.96
0.38		11.44	6.305	6.909	26.27		48.32
0.39		12.88	6.872	7.54	29.05		58.22
0.40		14.4	7.49	8.248	32.02		71
0.41		15.97	8.136	9.021	35.2		87.23
0.42		17.73	8.812	9.853	38.72		108.7
0.43		19.58	9.559	10.7	42.49		135.8
0.44		21.56	10.38	11.65	46.57		171.9
0.45		23.65	11.23	12.65	50.92		222.8
0.46		25.87	12.15	13.7	55.55		293.4
0.47		28.26	13.13	14.82	60.58		393.6
0.48		30.78	14.18	16.01	66.04		560.2
0.49		33.45	15.3	17.32	71.89		914.6
0.50		36.22	16.53	18.72	78.3		
0.51		39.21	17.84	20.26	85.33		
0.52		42.54	19.26	21.95	93.11		
0.53		45.92	20.75	23.79	101.4		
0.54		49.57	22.4	25.73	110.4		
0.55		53.3	24.2	27.85	120.2		
0.56		57.08	26.06	30.18	131.2		
0.57		61.53	28.11	32.65	143.3		
0.58		66.11	30.35	35.38	156.4		
0.59		70.73	32.74	38.3	171.1		
0.60		75.84	35.34	41.43	187.7		
0.61		81.44	38.18	44.83	206		
0.62		86.95	41.19	48.56	226.5		
0.63		92.84	44.51	52.79	249.6		
0.64		99.54	48.06	57.37	276.1		
0.65		106.5	51.98	62.44	306.2		
0.66		113.8	56.2	67.94	341.5		
0.67		122.1	60.82	74.11	404.6		
0.68		130.4	65.82	80.98			
0.69		138.9	71.45	88.7			
0.70		149.1	77.65	97.29			
0.71		159.7	84.25	107.3			
0.72		171.1	91.67	118.3			
0.73		183.9	100.1	130.5			
0.74		197.7	109.4	144.4			
0.75		212.4	119.6	159.9			
0.76		229.3	131.1	178			
0.77		248	143.9	199.2			
0.78		268.5	158.5	224.9			
0.79		292.7	175.1	254.4			
0.80		342.5	194.2	290.2			
0.81			215.8	334.4			
0.82			240.3	388			
0.83			269	456.7			
0.84			302.8	545.5			
0.85			341.7	667.6			
0.86			388.5	865.2			
0.87			442.5				
0.88			510				
0.89			591.7				
0.90			692.5				
0.91			819.4				
0.92			988.7				
