fpepq	DALI_ignore	TMalign_ignore	blastp_ignore	foldseek_ignore	reseek-fast_ignore	reseek-sensitive_ignore
0.01						
0.02						
0.03						
0.04						
0.05						
0.06						
0.07	0.01481					
0.08	0.02355		0.01802	0.014		
0.09	0.03291		0.08822	0.02078		
0.10	0.04353		0.3722	0.03042		
0.11	0.05281		1.271	0.03943		
0.12	0.0611	0.01284	7.599	0.04799		
0.13	0.07234	0.01659		0.05718		
0.14	0.08447	0.0215		0.06645		
0.15	0.09384	0.02694		0.07421	0.01124	0.01061
0.16	0.1036	0.03247		0.08518	0.01463	0.01338
0.17	0.1185	0.04237		0.09446	0.01909	0.01748
0.18	0.1301	0.04906		0.1054	0.02373	0.02185
0.19	0.1421	0.06155		0.1173	0.02988	0.02854
0.20	0.1579	0.07502		0.134	0.038	0.03568
0.21	0.178	0.0908		0.1519	0.04826	0.04576
0.22	0.1951	0.1065		0.1712	0.06262	0.0578
0.23	0.2178	0.1272		0.1929	0.08126	0.07377
0.24	0.2378	0.1522		0.2192	0.1051	0.09464
0.25	0.2605	0.182		0.2547	0.1403	0.121
0.26	0.2821	0.2168		0.2981	0.1888	0.1562
0.27	0.3082	0.2542		0.3448	0.2507	0.2034
0.28	0.3399	0.2906		0.4082	0.3279	0.2641
0.29	0.3784	0.3325		0.4881	0.4144	0.34
0.30	0.4207	0.3932		0.5875	0.5287	0.4332
0.31	0.472	0.4622		0.7081	0.6767	0.5316
0.32	0.5352	0.5444		0.8504	0.8596	0.6574
0.33	0.6093	0.6307		1.028	1.087	0.8152
0.34	0.6882	0.7342		1.239	1.375	1.008
0.35	0.785	0.8484		1.488	1.751	1.245
0.36	0.8983	0.9873		1.787	2.239	1.528
0.37	1.019	1.133		2.136	2.877	1.862
0.38	1.16	1.306		2.554	3.694	2.262
0.39	1.338	1.495		3.036	4.791	2.757
0.40	1.526	1.693		3.587	6.215	3.367
0.41	1.747	1.928		4.269	8.261	4.122
0.42	1.971	2.193		5.027		5.035
0.43	2.233	2.479		5.878		6.129
0.44	2.554	2.793		6.857		7.503
0.45	2.903	3.166		7.959		9.181
0.46	3.284	3.569		9.233		
0.47	3.708	4.035				
0.48	4.217	4.513				
0.49	4.758	5.045				
0.50	5.342	5.614				
0.51	5.966	6.242				
0.52	6.713	6.951				
0.53	7.557	7.74				
0.54	8.467	8.573				
0.55	9.571	9.481				
0.56						
0.57						
0.58						
0.59						
0.60						
0.61						
0.62						
0.63						
0.64						
0.65						
0.66						
0.67						
0.68						
0.69						
0.70						
0.71						
0.72						
0.73						
0.74						
0.75						
0.76						
0.77						
0.78						
0.79						
0.80						
0.81						
0.82						
0.83						
0.84						
0.85						
0.86						
0.87						
0.88						
0.89						
0.90						
0.91						
0.92						
0.93						
0.94						
0.95						
0.96						
0.97						
0.98						
0.99						
1.00						
